PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=1 ttl=63 time=5.53 ms
64 bytes from 10.0.2.2: icmp_seq=2 ttl=63 time=4.35 ms
64 bytes from 10.0.2.2: icmp_seq=3 ttl=63 time=4.70 ms
64 bytes from 10.0.2.2: icmp_seq=4 ttl=63 time=4.58 ms
64 bytes from 10.0.2.2: icmp_seq=5 ttl=63 time=4.36 ms
64 bytes from 10.0.2.2: icmp_seq=6 ttl=63 time=4.35 ms
64 bytes from 10.0.2.2: icmp_seq=7 ttl=63 time=4.28 ms
64 bytes from 10.0.2.2: icmp_seq=8 ttl=63 time=4.11 ms
64 bytes from 10.0.2.2: icmp_seq=9 ttl=63 time=4.15 ms
64 bytes from 10.0.2.2: icmp_seq=10 ttl=63 time=4.13 ms
64 bytes from 10.0.2.2: icmp_seq=11 ttl=63 time=4.09 ms
64 bytes from 10.0.2.2: icmp_seq=12 ttl=63 time=4.20 ms
64 bytes from 10.0.2.2: icmp_seq=13 ttl=63 time=4.23 ms
64 bytes from 10.0.2.2: icmp_seq=14 ttl=63 time=4.51 ms
64 bytes from 10.0.2.2: icmp_seq=15 ttl=63 time=4.15 ms
64 bytes from 10.0.2.2: icmp_seq=16 ttl=63 time=4.23 ms
64 bytes from 10.0.2.2: icmp_seq=17 ttl=63 time=4.22 ms
64 bytes from 10.0.2.2: icmp_seq=18 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=19 ttl=63 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=20 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=21 ttl=63 time=4.20 ms
64 bytes from 10.0.2.2: icmp_seq=22 ttl=63 time=4.26 ms
64 bytes from 10.0.2.2: icmp_seq=23 ttl=63 time=4.17 ms
64 bytes from 10.0.2.2: icmp_seq=24 ttl=63 time=4.55 ms
64 bytes from 10.0.2.2: icmp_seq=25 ttl=63 time=4.06 ms
64 bytes from 10.0.2.2: icmp_seq=26 ttl=63 time=4.13 ms
64 bytes from 10.0.2.2: icmp_seq=27 ttl=63 time=4.21 ms
64 bytes from 10.0.2.2: icmp_seq=28 ttl=63 time=3.98 ms
64 bytes from 10.0.2.2: icmp_seq=29 ttl=63 time=4.26 ms
64 bytes from 10.0.2.2: icmp_seq=30 ttl=63 time=3.89 ms
64 bytes from 10.0.2.2: icmp_seq=31 ttl=63 time=4.15 ms
64 bytes from 10.0.2.2: icmp_seq=32 ttl=63 time=4.04 ms
64 bytes from 10.0.2.2: icmp_seq=33 ttl=63 time=4.11 ms
64 bytes from 10.0.2.2: icmp_seq=34 ttl=63 time=4.28 ms
64 bytes from 10.0.2.2: icmp_seq=35 ttl=63 time=4.19 ms
64 bytes from 10.0.2.2: icmp_seq=36 ttl=63 time=4.18 ms
64 bytes from 10.0.2.2: icmp_seq=37 ttl=63 time=4.01 ms
64 bytes from 10.0.2.2: icmp_seq=38 ttl=63 time=4.06 ms
64 bytes from 10.0.2.2: icmp_seq=39 ttl=63 time=4.33 ms
64 bytes from 10.0.2.2: icmp_seq=40 ttl=63 time=4.09 ms
64 bytes from 10.0.2.2: icmp_seq=41 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=42 ttl=63 time=4.03 ms
64 bytes from 10.0.2.2: icmp_seq=43 ttl=63 time=3.88 ms
64 bytes from 10.0.2.2: icmp_seq=44 ttl=63 time=4.27 ms
64 bytes from 10.0.2.2: icmp_seq=45 ttl=63 time=4.13 ms
64 bytes from 10.0.2.2: icmp_seq=46 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=47 ttl=63 time=4.10 ms
64 bytes from 10.0.2.2: icmp_seq=48 ttl=63 time=4.19 ms
64 bytes from 10.0.2.2: icmp_seq=49 ttl=63 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=50 ttl=63 time=3.98 ms
64 bytes from 10.0.2.2: icmp_seq=51 ttl=63 time=4.16 ms
64 bytes from 10.0.2.2: icmp_seq=52 ttl=63 time=3.78 ms
64 bytes from 10.0.2.2: icmp_seq=53 ttl=63 time=4.10 ms
64 bytes from 10.0.2.2: icmp_seq=54 ttl=63 time=4.47 ms
64 bytes from 10.0.2.2: icmp_seq=55 ttl=63 time=4.16 ms
64 bytes from 10.0.2.2: icmp_seq=56 ttl=63 time=4.13 ms
64 bytes from 10.0.2.2: icmp_seq=57 ttl=63 time=4.20 ms
64 bytes from 10.0.2.2: icmp_seq=58 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=59 ttl=63 time=4.50 ms
64 bytes from 10.0.2.2: icmp_seq=60 ttl=63 time=4.16 ms
64 bytes from 10.0.2.2: icmp_seq=61 ttl=63 time=4.15 ms
64 bytes from 10.0.2.2: icmp_seq=62 ttl=63 time=4.19 ms
64 bytes from 10.0.2.2: icmp_seq=63 ttl=63 time=4.14 ms
64 bytes from 10.0.2.2: icmp_seq=64 ttl=63 time=4.68 ms
64 bytes from 10.0.2.2: icmp_seq=65 ttl=63 time=4.24 ms
64 bytes from 10.0.2.2: icmp_seq=66 ttl=63 time=4.26 ms
64 bytes from 10.0.2.2: icmp_seq=67 ttl=63 time=4.25 ms
64 bytes from 10.0.2.2: icmp_seq=68 ttl=63 time=4.18 ms
64 bytes from 10.0.2.2: icmp_seq=69 ttl=63 time=4.69 ms
64 bytes from 10.0.2.2: icmp_seq=70 ttl=63 time=4.22 ms
64 bytes from 10.0.2.2: icmp_seq=71 ttl=63 time=4.22 ms
64 bytes from 10.0.2.2: icmp_seq=72 ttl=63 time=4.18 ms
64 bytes from 10.0.2.2: icmp_seq=73 ttl=63 time=4.18 ms
64 bytes from 10.0.2.2: icmp_seq=74 ttl=63 time=4.51 ms
64 bytes from 10.0.2.2: icmp_seq=75 ttl=63 time=4.21 ms
64 bytes from 10.0.2.2: icmp_seq=76 ttl=63 time=4.19 ms
64 bytes from 10.0.2.2: icmp_seq=77 ttl=63 time=4.23 ms
64 bytes from 10.0.2.2: icmp_seq=78 ttl=63 time=4.18 ms
64 bytes from 10.0.2.2: icmp_seq=79 ttl=63 time=4.53 ms
64 bytes from 10.0.2.2: icmp_seq=80 ttl=63 time=4.07 ms
64 bytes from 10.0.2.2: icmp_seq=81 ttl=63 time=4.15 ms
64 bytes from 10.0.2.2: icmp_seq=82 ttl=63 time=4.19 ms
64 bytes from 10.0.2.2: icmp_seq=83 ttl=63 time=4.16 ms
64 bytes from 10.0.2.2: icmp_seq=84 ttl=63 time=4.50 ms
64 bytes from 10.0.2.2: icmp_seq=85 ttl=63 time=4.25 ms
64 bytes from 10.0.2.2: icmp_seq=86 ttl=63 time=4.22 ms
64 bytes from 10.0.2.2: icmp_seq=87 ttl=63 time=4.23 ms
64 bytes from 10.0.2.2: icmp_seq=88 ttl=63 time=4.17 ms
64 bytes from 10.0.2.2: icmp_seq=89 ttl=63 time=4.48 ms
64 bytes from 10.0.2.2: icmp_seq=90 ttl=63 time=4.20 ms
64 bytes from 10.0.2.2: icmp_seq=91 ttl=63 time=4.20 ms
64 bytes from 10.0.2.2: icmp_seq=92 ttl=63 time=4.17 ms
64 bytes from 10.0.2.2: icmp_seq=93 ttl=63 time=4.16 ms
64 bytes from 10.0.2.2: icmp_seq=94 ttl=63 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=95 ttl=63 time=4.26 ms
64 bytes from 10.0.2.2: icmp_seq=96 ttl=63 time=4.21 ms
64 bytes from 10.0.2.2: icmp_seq=97 ttl=63 time=4.23 ms
64 bytes from 10.0.2.2: icmp_seq=98 ttl=63 time=4.21 ms
64 bytes from 10.0.2.2: icmp_seq=99 ttl=63 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=100 ttl=63 time=4.19 ms

--- 10.0.2.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99125ms
rtt min/avg/max/mdev = 3.784/4.242/5.532/0.227 ms
