PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=1 ttl=64 time=5.86 ms
64 bytes from 10.0.2.2: icmp_seq=2 ttl=64 time=4.97 ms
64 bytes from 10.0.2.2: icmp_seq=3 ttl=64 time=4.74 ms
64 bytes from 10.0.2.2: icmp_seq=4 ttl=64 time=4.50 ms
64 bytes from 10.0.2.2: icmp_seq=5 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=6 ttl=64 time=4.95 ms
64 bytes from 10.0.2.2: icmp_seq=7 ttl=64 time=4.56 ms
64 bytes from 10.0.2.2: icmp_seq=8 ttl=64 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=9 ttl=64 time=4.59 ms
64 bytes from 10.0.2.2: icmp_seq=10 ttl=64 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=11 ttl=64 time=4.74 ms
64 bytes from 10.0.2.2: icmp_seq=12 ttl=64 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=13 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=14 ttl=64 time=4.50 ms
64 bytes from 10.0.2.2: icmp_seq=15 ttl=64 time=4.50 ms
64 bytes from 10.0.2.2: icmp_seq=16 ttl=64 time=4.76 ms
64 bytes from 10.0.2.2: icmp_seq=17 ttl=64 time=4.55 ms
64 bytes from 10.0.2.2: icmp_seq=18 ttl=64 time=4.48 ms
64 bytes from 10.0.2.2: icmp_seq=19 ttl=64 time=4.66 ms
64 bytes from 10.0.2.2: icmp_seq=20 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=21 ttl=64 time=4.82 ms
64 bytes from 10.0.2.2: icmp_seq=22 ttl=64 time=4.45 ms
64 bytes from 10.0.2.2: icmp_seq=23 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=24 ttl=64 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=25 ttl=64 time=4.47 ms
64 bytes from 10.0.2.2: icmp_seq=26 ttl=64 time=4.70 ms
64 bytes from 10.0.2.2: icmp_seq=27 ttl=64 time=4.48 ms
64 bytes from 10.0.2.2: icmp_seq=28 ttl=64 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=29 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=30 ttl=64 time=4.42 ms
64 bytes from 10.0.2.2: icmp_seq=31 ttl=64 time=4.70 ms
64 bytes from 10.0.2.2: icmp_seq=32 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=33 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=34 ttl=64 time=4.45 ms
64 bytes from 10.0.2.2: icmp_seq=35 ttl=64 time=4.40 ms
64 bytes from 10.0.2.2: icmp_seq=36 ttl=64 time=4.64 ms
64 bytes from 10.0.2.2: icmp_seq=37 ttl=64 time=4.41 ms
64 bytes from 10.0.2.2: icmp_seq=38 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=39 ttl=64 time=4.66 ms
64 bytes from 10.0.2.2: icmp_seq=40 ttl=64 time=4.51 ms
64 bytes from 10.0.2.2: icmp_seq=41 ttl=64 time=4.83 ms
