PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=42 ttl=64 time=4.41 ms
64 bytes from 10.0.2.2: icmp_seq=43 ttl=64 time=4.42 ms
64 bytes from 10.0.2.2: icmp_seq=44 ttl=64 time=4.45 ms
64 bytes from 10.0.2.2: icmp_seq=45 ttl=64 time=4.38 ms
64 bytes from 10.0.2.2: icmp_seq=46 ttl=64 time=4.68 ms
64 bytes from 10.0.2.2: icmp_seq=47 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=48 ttl=64 time=4.38 ms
64 bytes from 10.0.2.2: icmp_seq=49 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=50 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=51 ttl=64 time=4.73 ms
64 bytes from 10.0.2.2: icmp_seq=52 ttl=64 time=4.40 ms
64 bytes from 10.0.2.2: icmp_seq=53 ttl=64 time=4.35 ms
64 bytes from 10.0.2.2: icmp_seq=54 ttl=64 time=4.38 ms
64 bytes from 10.0.2.2: icmp_seq=55 ttl=64 time=4.30 ms
64 bytes from 10.0.2.2: icmp_seq=56 ttl=64 time=4.66 ms
64 bytes from 10.0.2.2: icmp_seq=57 ttl=64 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=58 ttl=64 time=4.42 ms
64 bytes from 10.0.2.2: icmp_seq=59 ttl=64 time=4.34 ms
64 bytes from 10.0.2.2: icmp_seq=60 ttl=64 time=4.51 ms
64 bytes from 10.0.2.2: icmp_seq=61 ttl=64 time=4.78 ms
64 bytes from 10.0.2.2: icmp_seq=62 ttl=64 time=4.39 ms
64 bytes from 10.0.2.2: icmp_seq=63 ttl=64 time=4.41 ms
64 bytes from 10.0.2.2: icmp_seq=64 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=65 ttl=64 time=4.66 ms
64 bytes from 10.0.2.2: icmp_seq=66 ttl=64 time=4.87 ms
64 bytes from 10.0.2.2: icmp_seq=67 ttl=64 time=4.58 ms
64 bytes from 10.0.2.2: icmp_seq=68 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=69 ttl=64 time=4.52 ms
64 bytes from 10.0.2.2: icmp_seq=70 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=71 ttl=64 time=4.78 ms
64 bytes from 10.0.2.2: icmp_seq=72 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=73 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=74 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=75 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=76 ttl=64 time=4.72 ms
64 bytes from 10.0.2.2: icmp_seq=77 ttl=64 time=4.57 ms
64 bytes from 10.0.2.2: icmp_seq=78 ttl=64 time=4.54 ms
64 bytes from 10.0.2.2: icmp_seq=79 ttl=64 time=4.58 ms
64 bytes from 10.0.2.2: icmp_seq=80 ttl=64 time=4.48 ms
64 bytes from 10.0.2.2: icmp_seq=81 ttl=64 time=4.76 ms
64 bytes from 10.0.2.2: icmp_seq=82 ttl=64 time=4.47 ms
64 bytes from 10.0.2.2: icmp_seq=83 ttl=64 time=4.34 ms
64 bytes from 10.0.2.2: icmp_seq=84 ttl=64 time=4.42 ms
64 bytes from 10.0.2.2: icmp_seq=85 ttl=64 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=86 ttl=64 time=4.69 ms
64 bytes from 10.0.2.2: icmp_seq=87 ttl=64 time=4.38 ms
64 bytes from 10.0.2.2: icmp_seq=88 ttl=64 time=4.43 ms
64 bytes from 10.0.2.2: icmp_seq=89 ttl=64 time=4.49 ms
64 bytes from 10.0.2.2: icmp_seq=90 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=91 ttl=64 time=4.61 ms
64 bytes from 10.0.2.2: icmp_seq=92 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=93 ttl=64 time=4.53 ms
64 bytes from 10.0.2.2: icmp_seq=94 ttl=64 time=4.46 ms
64 bytes from 10.0.2.2: icmp_seq=95 ttl=64 time=4.53 ms
64 bytes from 10.0.2.2: icmp_seq=96 ttl=64 time=4.82 ms
64 bytes from 10.0.2.2: icmp_seq=97 ttl=64 time=4.48 ms
64 bytes from 10.0.2.2: icmp_seq=98 ttl=64 time=4.44 ms
64 bytes from 10.0.2.2: icmp_seq=99 ttl=64 time=4.47 ms
64 bytes from 10.0.2.2: icmp_seq=100 ttl=64 time=4.47 ms

--- 10.0.2.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99153ms
rtt min/avg/max/mdev = 4.308/4.548/5.863/0.204 ms
